Dataset,Model,H-Score,LEEP,LogME,NCE,NLEEP,OTCE,PACTranDirichlet,GBC,LFC
DTD,resnet152,36.558,-2.051,0.743,-1.665,-0.966,729.66,-0.0627,-147.216,0.1368
DTD,densenet121,28.418,-2.134,0.694,-1.652,-1.075,722.794,-0.0641,-290.212,0.1421
DTD,densenet169,33.896,-1.97,0.714,-1.612,-1.06,968.819,-0.0626,-41.101,0.1714
DTD,densenet201,35.674,-2.058,0.716,-1.633,-1.059,865.299,-0.0632,-171.346,0.1675
DTD,mobilenet_v2,29.015,-2.222,0.693,-1.737,-1.104,603.931,-0.0645,-582.106,0.1212
DTD,mnasnet1_0,29.234,-2.155,0.707,-1.747,-1.105,382.599,-0.0644,-9591.608,0.1822
Pet,googlenet,28.086,-1.06,0.858,-0.813,-0.314,198.216,-0.0342,-1139.105,0.3148
Pet,inception_v3,33.329,-0.886,1.121,-0.708,-0.275,271.785,-0.0304,-812.561,0.2219
Pet,resnet50,32.602,-0.801,0.957,-0.728,-0.264,563.945,-0.0276,-695.645,0.2762
Pet,resnet101,32.817,-0.766,0.989,-0.717,-0.234,649.372,-0.0268,-487.183,0.2959
Pet,resnet152,32.901,-0.732,1.012,-0.687,-0.22,656.861,-0.026,-533.791,0.3101
Pet,densenet121,27.174,-0.835,0.801,-0.748,-0.294,633.978,-0.0289,-556.828,0.292
Pet,densenet169,30.12,-0.779,0.831,-0.697,-0.29,802.586,-0.0285,-29.398,0.3042
Pet,densenet201,31.317,-0.809,0.862,-0.714,-0.27,722.63,-0.0287,-436.09,0.3082
Pet,mobilenet_v2,27.939,-0.898,0.769,-0.808,-0.342,566.075,-0.0303,-109.635,0.2651
Pet,mnasnet1_0,28.069,-0.857,0.791,-0.812,-0.372,379.666,-0.0298,-1268.168,0.3047
SUN397,googlenet,54.3268,-3.5252,1.7518,-3.1009,-1.3949,120.3732205,-0.0084,-581410.45,0.0883
SUN397,inception_v3,83.8317,-3.2072,1.7865,-2.9126,-1.2925,171.0342002,-0.0081,-446782.3255,0.0574
SUN397,resnet50,79.7385,-3.0405,1.7781,-2.9412,-1.2409,356.9349933,-0.0078,-52704.6885,0.0832
SUN397,resnet101,82.8303,-2.9549,1.7829,-2.8989,-1.199,421.0615602,-0.0077,-10876.6043,0.0884
SUN397,resnet152,85.7937,-2.9012,1.7877,-2.854,-1.1609,426.7848437,-0.0076,-16597.2592,0.0876
SUN397,densenet121,55.0373,-3.1425,1.7413,-2.9957,-1.3096,397.2490642,-0.0079,-53419.2169,0.0887
SUN397,densenet169,70.0254,-3.0104,1.7525,-2.947,-1.2701,498.5032929,-0.0078,-25082.0647,0.0942
SUN397,densenet201,73.9228,-3.0451,1.7543,-2.9422,-1.2644,437.8337289,-0.0078,-43264.5294,0.0928
SUN397,mobilenet_v2,55.2761,-3.1689,1.7495,-3.0359,-1.3811,345.3009796,-0.008,-55397.9248,0.083
SUN397,mnasnet1_0,60.1429,-3.0805,1.7573,-3.0003,-1.3684,210.1397906,-0.0079,-481919.2588,0.1144
